               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033321,            0.032779,            0.036141,             0.30702,              0.8695,             0.55036,             0.34783,            0.030045,            0.032373,            0.034581,          0.00089726,          0.00089726,          0.00089726
                  37,            0.033272,            0.033058,            0.035898,             0.31544,              0.8058,              0.5567,              0.3654,            0.029503,             0.03204,            0.034226,          0.00089159,          0.00089159,          0.00089159
                  38,            0.032836,            0.033084,            0.035161,             0.32751,             0.80489,             0.55377,             0.36235,            0.030465,            0.032109,            0.034068,          0.00088579,          0.00088579,          0.00088579
                  39,             0.03277,            0.032796,            0.034959,             0.32804,             0.82277,             0.56033,             0.37365,            0.029732,            0.031884,            0.033464,          0.00087987,          0.00087987,          0.00087987
                  40,            0.032823,            0.032504,            0.034745,             0.32428,             0.83051,             0.56279,             0.38384,            0.028548,             0.03195,            0.033192,          0.00087382,          0.00087382,          0.00087382
                  41,            0.032696,            0.032589,            0.034299,             0.31645,             0.84212,             0.56492,             0.36912,            0.029818,            0.031381,            0.033052,          0.00086765,          0.00086765,          0.00086765
                  42,            0.032777,            0.032832,            0.034146,             0.33499,             0.83041,             0.57484,             0.38796,            0.028595,            0.031303,             0.03324,          0.00086137,          0.00086137,          0.00086137
                  43,            0.031979,            0.032469,            0.033803,              0.3191,             0.82537,             0.57393,             0.39006,            0.028579,            0.031232,              0.0329,          0.00085497,          0.00085497,          0.00085497
                  44,            0.032148,            0.032499,            0.033335,             0.33791,             0.83804,             0.57724,              0.3914,             0.02858,            0.031608,             0.03253,          0.00084846,          0.00084846,          0.00084846
                  45,            0.031998,            0.031545,            0.033316,             0.33975,             0.83848,             0.59204,             0.40343,            0.028471,            0.031434,             0.03206,          0.00084184,          0.00084184,          0.00084184
                  46,            0.031232,            0.031223,            0.032867,             0.35592,              0.8412,             0.58704,             0.40305,            0.028057,            0.030764,            0.033033,          0.00083511,          0.00083511,          0.00083511
                  47,            0.031712,            0.031682,            0.032588,             0.34626,             0.85027,             0.60802,             0.41053,            0.028872,            0.030916,            0.031329,          0.00082829,          0.00082829,          0.00082829
                  48,            0.031637,            0.031908,            0.032369,             0.35999,             0.81497,             0.60862,             0.40858,            0.028767,            0.030638,            0.031158,          0.00082136,          0.00082136,          0.00082136
                  49,            0.030943,            0.031097,            0.032302,             0.34893,             0.81711,             0.60859,             0.42026,            0.028214,            0.030805,            0.031297,          0.00081433,          0.00081433,          0.00081433
                  50,            0.031585,             0.03174,            0.031731,             0.36281,             0.82296,             0.61837,             0.42437,            0.028184,            0.030758,            0.030528,          0.00080721,          0.00080721,          0.00080721
                  51,            0.030729,            0.031213,            0.031823,             0.36322,             0.84636,             0.61867,             0.43091,            0.027373,            0.030247,            0.031003,              0.0008,              0.0008,              0.0008
                  52,            0.030647,            0.031319,            0.031347,             0.36523,             0.83524,             0.63508,             0.43453,            0.027737,            0.030353,            0.030098,           0.0007927,           0.0007927,           0.0007927
                  53,            0.030609,               0.031,            0.031295,             0.37896,             0.83773,              0.6312,             0.43906,             0.02767,            0.030299,            0.029843,          0.00078532,          0.00078532,          0.00078532
                  54,            0.030362,            0.030641,            0.031093,             0.38677,             0.83798,             0.63285,             0.44427,            0.027466,             0.03047,            0.029828,          0.00077785,          0.00077785,          0.00077785
                  55,            0.030297,            0.030888,            0.030381,             0.37007,             0.82008,             0.63474,             0.44299,            0.027447,            0.030174,            0.029761,          0.00077031,          0.00077031,          0.00077031
                  56,            0.030393,            0.031067,            0.030676,             0.38204,             0.86797,             0.63818,             0.44845,            0.027171,            0.030084,            0.029694,          0.00076269,          0.00076269,          0.00076269
                  57,            0.029986,            0.030103,            0.030689,             0.39612,             0.85314,             0.64178,              0.4447,            0.027675,            0.030194,            0.029334,          0.00075501,          0.00075501,          0.00075501
                  58,            0.029886,            0.030495,            0.030147,             0.40622,             0.83778,             0.63851,             0.44402,            0.027624,            0.030361,            0.029647,          0.00074725,          0.00074725,          0.00074725
                  59,            0.029473,            0.030573,            0.030084,             0.39999,             0.84776,             0.64641,             0.45007,              0.0274,            0.029683,            0.029181,          0.00073943,          0.00073943,          0.00073943
                  60,            0.029972,            0.030406,            0.029581,             0.39728,             0.85058,             0.64246,             0.45083,            0.027289,            0.029913,            0.028917,          0.00073155,          0.00073155,          0.00073155
                  61,            0.030065,            0.030054,            0.028985,             0.40064,             0.86678,             0.64677,             0.45479,            0.027412,            0.029921,            0.028564,          0.00072361,          0.00072361,          0.00072361
                  62,            0.029368,            0.030837,            0.029357,             0.41732,             0.83785,             0.64398,             0.44364,            0.027724,             0.03005,            0.028167,          0.00071561,          0.00071561,          0.00071561
                  63,            0.030126,            0.030466,            0.029085,             0.42155,             0.86291,             0.64689,             0.45552,            0.027068,            0.029665,            0.028229,          0.00070757,          0.00070757,          0.00070757
                  64,            0.029156,            0.029991,            0.029108,             0.41084,             0.84728,             0.65012,             0.45952,            0.026755,            0.029117,            0.028145,          0.00069948,          0.00069948,          0.00069948
                  65,            0.029898,            0.030653,            0.028659,             0.42356,             0.82866,             0.65118,             0.46096,            0.026773,            0.029079,            0.028162,          0.00069134,          0.00069134,          0.00069134
                  66,            0.028306,            0.030731,            0.029055,             0.43119,             0.85911,             0.64679,             0.45346,            0.027243,             0.02952,            0.028179,          0.00068316,          0.00068316,          0.00068316
                  67,            0.029413,            0.029283,            0.028218,             0.42651,              0.8289,             0.65014,             0.46236,            0.026725,            0.029147,            0.028003,          0.00067495,          0.00067495,          0.00067495
                  68,            0.029374,            0.029806,             0.02817,             0.44199,             0.84571,             0.65317,             0.46006,            0.026867,            0.029235,            0.027674,          0.00066671,          0.00066671,          0.00066671
                  69,             0.02875,             0.02911,             0.02842,              0.4327,              0.8478,             0.65636,             0.46302,            0.026721,            0.029179,             0.02751,          0.00065843,          0.00065843,          0.00065843
                  70,            0.028707,            0.029766,            0.028287,             0.45088,             0.83272,             0.65533,             0.45633,            0.027252,            0.029391,            0.027319,          0.00065013,          0.00065013,          0.00065013
                  71,            0.029352,            0.029728,            0.027686,             0.45377,             0.85909,             0.64782,             0.45707,            0.027153,            0.029683,              0.0277,          0.00064181,          0.00064181,          0.00064181
                  72,            0.028131,            0.029543,            0.027657,             0.46321,              0.8566,             0.65403,             0.45624,            0.027107,            0.029296,            0.027328,          0.00063347,          0.00063347,          0.00063347
                  73,            0.028459,            0.029512,            0.027362,             0.44803,              0.8583,             0.65708,             0.46544,             0.02666,             0.02911,            0.027269,          0.00062512,          0.00062512,          0.00062512
                  74,            0.028451,            0.029279,            0.027432,             0.44487,             0.84161,             0.65736,             0.46272,            0.026957,            0.029189,            0.027018,          0.00061675,          0.00061675,          0.00061675
                  75,            0.028136,            0.029295,            0.027433,             0.46293,             0.85494,                0.66,             0.46855,            0.026497,            0.028825,            0.027059,          0.00060838,          0.00060838,          0.00060838
                  76,            0.027731,            0.028936,            0.026914,             0.48157,              0.8626,             0.66135,             0.46607,            0.026837,            0.028906,            0.026536,              0.0006,              0.0006,              0.0006
                  77,            0.027571,            0.029345,             0.02706,             0.49456,             0.83996,             0.66278,             0.46799,              0.0266,            0.028976,            0.026827,          0.00059162,          0.00059162,          0.00059162
                  78,            0.027699,            0.029206,            0.026994,             0.47287,             0.87083,              0.6625,             0.47132,            0.026514,            0.028764,            0.026579,          0.00058325,          0.00058325,          0.00058325
                  79,            0.028323,            0.029875,            0.026698,             0.47751,             0.85352,             0.66119,             0.46691,            0.026521,            0.028572,            0.026684,          0.00057488,          0.00057488,          0.00057488
                  80,            0.027848,            0.029742,            0.026578,             0.48889,             0.87452,             0.66401,             0.46926,             0.02643,             0.02848,            0.026342,          0.00056653,          0.00056653,          0.00056653
